b'LoRa Receiver\r\
b'LoRa Initializing OK!\r\
b"Received packet 'Sender 2:,62, S2M1:,39.55,S2M2: ,34.36,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,56, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,63, S2M1:,45.10,S2M2: ,38.53,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,57, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,64, S2M1:,40.60,S2M2: ,35.26,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,58, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,65, S2M1:,41.46,S2M2: ,35.63,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,59, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,66, S2M1:,44.86,S2M2: ,38.53,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,60, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,67, S2M1:,39.55,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,61, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,68, S2M1:,39.34,S2M2: ,33.66,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,62, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,69, S2M1:,43.47,S2M2: ,36.76,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,63, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,70, S2M1:,44.16,S2M2: ,37.34,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,64, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,71, S2M1:,41.25,S2M2: ,35.26,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,65, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,72, S2M1:,38.13,S2M2: ,32.81,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,66, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,73, S2M1:,40.60,S2M2: ,34.54,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,67, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,74, S2M1:,43.47,S2M2: ,36.76,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,68, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,75, S2M1:,44.16,S2M2: ,37.15,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,69, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,76, S2M1:,42.12,S2M2: ,35.82,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,70, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 1:,72, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 1:,73, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,79, S2M1:,38.13,S2M2: ,32.64,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,74, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,80, S2M1:,37.93,S2M2: ,32.64,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,75, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,81, S2M1:,40.39,S2M2: ,34.72,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,76, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,82, S2M1:,42.12,S2M2: ,36.00,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,77, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,83, S2M1:,43.24,S2M2: ,36.76,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,78, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
